Bid Number,RA Number,Items,Quantity,Department,Start Date,End Date
GEM/2024/B/4539034,0,"All in One PC,Computer Printers,Computer Printers",226,Ministry of Environment Forest and Climate ChangeNA,18-03-2024 5:06 PM,02-04-2024 1:00 PM
GEM/2024/B/4634803,0,"Manpower Outsourcing Services - Minimum wage - Skilled; Admin; Data Entry Operator,Manpower Outsour",5,Ministry of RailwaysIndian Railways,16-03-2024 2:59 PM,02-04-2024 1:00 PM
GEM/2024/B/4768043,0,Custom Bid for Services - Provision of OBHS activities and Linen distribution service in AC coaches,1,Ministry of RailwaysIndian Railways,12-03-2024 1:11 PM,02-04-2024 1:00 PM
GEM/2024/B/4749731,0,Low temperature Demulsifier (LTD) for Heera Crude Oil Emulsion.,73,Ministry of Petroleum and Natural GasNA,12-03-2024 11:51 AM,02-04-2024 1:00 PM
GEM/2024/B/4768043,0,Custom Bid for Services - Provision of OBHS activities and Linen distribution service in AC coaches,1,Ministry of RailwaysIndian Railways,12-03-2024 1:11 PM,02-04-2024 1:00 PM
GEM/2024/B/4634803,0,"Manpower Outsourcing Services - Minimum wage - Skilled; Admin; Data Entry Operator,Manpower Outsour",5,Ministry of RailwaysIndian Railways,16-03-2024 2:59 PM,02-04-2024 1:00 PM
GEM/2024/B/4796251,0,Nucleic Acid Sequencing and Genotyping Service - DNA sequencing; Plant; Leaf; To be collected by th,30,Ministry of Environment Forest and Climate ChangeNA,18-03-2024 3:49 PM,02-04-2024 1:00 PM
GEM/2024/B/4539034,0,"All in One PC,Computer Printers,Computer Printers",226,Ministry of Environment Forest and Climate ChangeNA,18-03-2024 5:06 PM,02-04-2024 1:00 PM
GEM/2024/B/4796528,0,Custom Bid for Services - REFILLING OF ABC TYPE FIRE EXTINGUISHERS,1,Ministry of Consumer Affairs Food and Public DistributionDepartment of Food and Public Distribution,18-03-2024 1:08 PM,02-04-2024 1:00 PM
GEM/2024/B/4796432,0,Manpower Outsourcing Services - Minimum wage - Skilled; Admin; Multi-tasking Staff,2,Ministry of DefenceDepartment of Defence,18-03-2024 12:58 PM,02-04-2024 1:00 PM
GEM/2024/B/4796275,0,Custom Bid for Services - Resupport by drilling with DGMS APPROVED hydraulic drill machine and grou,1,Ministry of CoalMaterials Management,18-03-2024 12:57 PM,02-04-2024 1:00 PM
GEM/2024/B/4437873,0,Advanced Dental Chair,146,Ministry of DefenceDepartment of Defence,13-02-2024 12:12 PM,02-04-2024 1:00 PM
GEM/2024/B/4801923,0,"Desktops,Systems Desktop,HP SFF Desktop,HP SFF,MANPOWER RESIDENT ENGINEER",3802,Ministry of FinanceDepartment of Financial Services,19-03-2024 6:22 PM,02-04-2024 1:00 PM
GEM/2024/B/4628039,0,"OEM / Compatible Cartridge / Consumable,OEM / Compatible Cartridge / Consumable,OEM / Compatible Ca",49,Ministry of CommunicationsDepartment of Telecommunications (DOT),13-03-2024 12:33 PM,02-04-2024 1:00 PM
GEM/2024/B/4627395,0,"OEM / Compatible Cartridge / Consumable,OEM / Compatible Cartridge / Consumable,OEM / Compatible Ca",30,Ministry of CommunicationsDepartment of Telecommunications (DOT),13-03-2024 12:36 PM,02-04-2024 1:00 PM
GEM/2024/B/4626769,0,OEM / Compatible Cartridge / Consumable,80,Ministry of CommunicationsDepartment of Telecommunications (DOT),13-03-2024 12:38 PM,02-04-2024 1:00 PM
GEM/2024/B/4626502,0,OEM / Compatible Cartridge / Consumable,35,Ministry of CommunicationsDepartment of Telecommunications (DOT),13-03-2024 12:21 PM,02-04-2024 1:00 PM
GEM/2024/B/4625854,0,"OEM / Compatible Cartridge / Consumable,OEM / Compatible Cartridge / Consumable",90,Ministry of CommunicationsDepartment of Telecommunications (DOT),13-03-2024 12:41 PM,02-04-2024 1:00 PM
GEM/2024/B/4812544,0,"32"" LED MONITOR",7,Ministry of Heavy Industries and Public EnterprisesDepartment of Heavy Industry,23-03-2024 7:56 AM,02-04-2024 1:00 PM
GEM/2024/B/4779920,0,PVC Copper Cable Single and Multi Core Circular Sheathed Cord with Flexible Conductor as per IS 694,300,Ministry of RailwaysIndian Railways,22-03-2024 12:11 PM,02-04-2024 1:00 PM
GEM/2024/B/4811733,0,Customized AMC/CMC for Pre-owned Products - UPS; VERTIV; Comprehensive Maintenance Contract (CMC); ,1,Ministry of Electronics and Information TechnologyDepartment of Electronics and Information Technology,22-03-2024 12:49 PM,02-04-2024 1:00 PM
GEM/2024/B/4811170,0,"6 Female 90 Degree,8 Female 90 Degree,10 Male Straight,10 Female 90 Degree,Binary Switch,Pressure S",91,Ministry of CoalMaterials Management,22-03-2024 12:47 PM,02-04-2024 1:00 PM
GEM/2024/B/4811669,0,"Stainless Steel Dining Table With Fixed Chair,Stainless Steel Dining Table With Fixed Chair,Stainle",26,Ministry of FinanceDepartment of Financial Services,22-03-2024 12:44 PM,02-04-2024 1:00 PM
